condition,packing_cells_per_mm2,sigma_um,mean_tx_per_cell,mix_epsilon,geometry,oracle_acc,naive_acc,oracle_minus_naive,oracle_ge_naive,n_interior_transcripts,n_cells,n_interior_cells,seed
baseline,2575.0,1.0,160.0,0.0,voronoi,0.9253542690308338,0.9049526454461297,0.0204016235847041,True,56172,400,349,20661635
baseline,2575.0,2.0,160.0,0.0,voronoi,0.8762942881885614,0.8276290522986558,0.04866523588990557,True,53118,400,332,20661652
baseline,2575.0,4.0,160.0,0.0,voronoi,0.7596018499899457,0.6824854212748844,0.0771164287150613,True,49730,400,309,20661669
baseline,2575.0,8.0,160.0,0.0,voronoi,0.5732039103569123,0.4365258692243844,0.1366780411325279,True,43372,400,270,20661686
baseline,6000.0,1.0,160.0,0.0,voronoi,0.8989991240005218,0.8668480793245484,0.032151044675973406,True,53653,400,337,20662635
baseline,6000.0,2.0,160.0,0.0,voronoi,0.8111663817773254,0.7503409069084065,0.06082547486891887,True,52067,400,325,20662652
baseline,6000.0,4.0,160.0,0.0,voronoi,0.6617135905457073,0.5412539103232534,0.1204596802224539,True,46032,400,289,20662669
baseline,6000.0,8.0,160.0,0.0,voronoi,0.42103284367698796,0.2749147353438784,0.14611810833310956,True,37237,400,234,20662686
baseline,13625.0,1.0,160.0,0.0,voronoi,0.8596957302855396,0.8063529681587095,0.05334276212683009,True,52322,400,327,20663635
baseline,13625.0,2.0,160.0,0.0,voronoi,0.7395713623258533,0.6433799068529608,0.09619145547289254,True,49599,400,310,20663652
baseline,13625.0,4.0,160.0,0.0,voronoi,0.522965588539359,0.3817013735046522,0.14126421503470682,True,40626,400,255,20663669
baseline,13625.0,8.0,160.0,0.0,voronoi,0.290256985590576,0.14959856957543036,0.14065841601514564,True,28523,400,178,20663686
aniso,2575.0,1.0,160.0,0.0,aniso,0.9240515667361354,0.7613655225835009,0.16268604415263455,True,54221,400,340,20761635
aniso,2575.0,2.0,160.0,0.0,aniso,0.8617228291235574,0.7221355220314818,0.13958730709207556,True,51903,400,326,20761652
aniso,2575.0,4.0,160.0,0.0,aniso,0.7405837015315726,0.6196825900021795,0.12090111152939309,True,50471,400,315,20761669
aniso,2575.0,8.0,160.0,0.0,aniso,0.5479227449183807,0.41856147372989655,0.12936127118848412,True,41473,400,259,20761686
aniso,6000.0,1.0,160.0,0.0,aniso,0.8910647583120678,0.7424460963793039,0.14861866193276385,True,54078,400,337,20762635
aniso,6000.0,2.0,160.0,0.0,aniso,0.7947900680753944,0.668280014165978,0.1265100539094164,True,50826,400,319,20762652
aniso,6000.0,4.0,160.0,0.0,aniso,0.6331944082660415,0.5047321351046279,0.12846227316141356,True,46068,400,290,20762669
aniso,6000.0,8.0,160.0,0.0,aniso,0.39601727838300416,0.26064277758156973,0.13537450080143443,True,36809,400,231,20762686
aniso,13625.0,1.0,160.0,0.0,aniso,0.8413230612744637,0.7075665392077455,0.13375652206671818,True,53089,400,330,20763635
aniso,13625.0,2.0,160.0,0.0,aniso,0.7124324547292001,0.5795281112073588,0.13290434352184133,True,48486,400,302,20763652
aniso,13625.0,4.0,160.0,0.0,aniso,0.5083636709734218,0.3640992695172151,0.14426440145620673,True,42027,400,262,20763669
aniso,13625.0,8.0,160.0,0.0,aniso,0.2813080508920122,0.1442641337492552,0.13704391714275702,True,28531,400,178,20763686
mixture,2575.0,1.0,160.0,0.1,voronoi,0.8330241862156755,0.8144935442807784,0.018530641934897174,True,54990,400,343,20861635
mixture,2575.0,2.0,160.0,0.1,voronoi,0.7889916865276709,0.7510649877080714,0.037926698819599536,True,53287,400,332,20861652
mixture,2575.0,4.0,160.0,0.1,voronoi,0.6802974714923153,0.613029251363411,0.06726822012890432,True,50425,400,316,20861669
mixture,2575.0,8.0,160.0,0.1,voronoi,0.4976695163368076,0.39304368192996836,0.10462583440683926,True,42695,400,267,20861686
mixture,6000.0,1.0,160.0,0.1,voronoi,0.8071024432841523,0.7747011843469718,0.03240125893718049,True,54967,400,341,20862635
mixture,6000.0,2.0,160.0,0.1,voronoi,0.7353427396101649,0.6736765214716851,0.061666218138479834,True,52022,400,324,20862652
mixture,6000.0,4.0,160.0,0.1,voronoi,0.5842415381889066,0.48901293638135745,0.09522860180754911,True,45144,400,282,20862669
mixture,6000.0,8.0,160.0,0.1,voronoi,0.36723712312428924,0.24530552242531828,0.12193160069897097,True,36053,400,226,20862686
mixture,13625.0,1.0,160.0,0.1,voronoi,0.7714505727211474,0.7275579940321494,0.043892578688997985,True,51945,400,324,20863635
mixture,13625.0,2.0,160.0,0.1,voronoi,0.6600509317272323,0.5731840413921339,0.08686689033509842,True,49478,400,309,20863652
mixture,13625.0,4.0,160.0,0.1,voronoi,0.45648512071869735,0.3419427288040427,0.11454239191465465,True,40963,400,255,20863669
mixture,13625.0,8.0,160.0,0.1,voronoi,0.25376044568245126,0.13457520891364902,0.11918523676880224,True,28720,400,178,20863686
