gene,owner,real_signal,pval,n_near,n_far,admissible,reason,exclusivity,gene_name,is_loose_0p6,is_exclusive_0p7
8,3,-0.09066752344369888,0.5994005994005994,6115,136738,False,ok,0.6241938,AHSP,True,False
20,0,0.0593033991754055,0.000999000999000999,14882,86892,True,ok,0.57728875,AQP1,False,False
23,0,0.21320034563541412,0.000999000999000999,14882,86892,True,ok,0.5101714,AVPR1A,False,False
27,0,0.009105025790631771,0.000999000999000999,14882,86892,True,ok,0.62149423,BTNL9,True,False
35,0,0.048516176640987396,0.000999000999000999,14882,86892,True,ok,0.5657795,CAVIN2,False,False
57,13,0.08709977567195892,0.000999000999000999,8987,121491,True,ok,0.6454739,CD79A,True,False
65,0,0.060383934527635574,0.000999000999000999,14882,86892,True,ok,0.5367585,CD93,False,False
73,0,0.01426356565207243,0.007992007992007992,14882,86892,True,ok,0.5332894,CLDN5,False,False
74,0,0.04529205709695816,0.000999000999000999,14882,86892,True,ok,0.75906175,CLEC14A,False,True
79,3,0.26449882984161377,0.24175824175824176,6115,136738,False,ok,0.67413515,CRHBP,True,False
91,3,-0.3726969063282013,0.996003996003996,6115,136738,False,ok,0.6734499,CYP1A1,True,False
94,13,0.029582491144537926,0.000999000999000999,8987,121491,True,ok,0.7384592,DERL3,False,True
106,0,-0.000993138994090259,0.6423576423576424,14882,86892,False,ok,0.6847433,EGFL7,True,False
115,0,0.06954701244831085,0.000999000999000999,14882,86892,True,ok,0.5885012,ESM1,False,False
144,0,0.03233817592263222,0.000999000999000999,14882,86892,True,ok,0.71698564,HOXD9,False,True
154,13,0.07355200499296188,0.000999000999000999,8987,121491,True,ok,0.5122616,ITM2C,False,False
157,0,0.05961684510111809,0.000999000999000999,14882,86892,True,ok,0.6729073,KDR,True,False
164,12,0.21718734502792358,0.000999000999000999,10299,130233,True,ok,0.58609784,KRT14,False,False
165,8,0.2608637809753418,0.000999000999000999,4071,148412,True,ok,0.63016754,KRT15,True,False
167,8,0.19452740252017975,0.000999000999000999,4071,148412,True,ok,0.78950137,KRT23,False,True
168,12,0.19702814519405365,0.000999000999000999,10299,130233,True,ok,0.55279297,KRT5,False,False
195,0,0.039946578443050385,0.000999000999000999,14882,86892,True,ok,0.692275,MMRN2,True,False
197,3,-0.057962410151958466,0.5314685314685315,6115,136738,False,ok,0.5170567,MPO,False,False
200,3,-0.5701118111610413,0.996003996003996,6115,136738,False,ok,0.57402796,MUC6,False,False
202,12,0.17624469101428986,0.000999000999000999,10299,130233,True,ok,0.51044226,MYH11,False,False
205,13,0.0022935429587960243,0.1038961038961039,8987,121491,False,ok,0.70150733,MZB1,False,True
210,0,0.02652508206665516,0.000999000999000999,14882,86892,True,ok,0.60710233,NOSTRIN,True,False
213,8,0.2949025332927704,0.000999000999000999,4071,148412,True,ok,0.5285241,OPRPN,False,False
226,8,0.10870660841464996,0.000999000999000999,4071,148412,True,ok,0.7192414,PIGR,False,True
240,0,0.05943653732538223,0.000999000999000999,14882,86892,True,ok,0.71863735,RAMP2,False,True
263,13,0.06989768892526627,0.000999000999000999,8987,121491,True,ok,0.5978035,SLAMF7,False,False
265,3,0.011657529510557652,0.45354645354645357,6115,136738,False,ok,0.672897,SLC4A1,True,False
270,0,0.03547777608036995,0.000999000999000999,14882,86892,True,ok,0.5807324,SOX17,False,False
271,0,0.025463644415140152,0.000999000999000999,14882,86892,True,ok,0.52385986,SOX18,False,False
286,13,-0.04599336162209511,1.0,8987,121491,False,ok,0.51564103,TENT5C,False,False
293,13,0.07107775658369064,0.000999000999000999,8987,121491,True,ok,0.7052369,TNFRSF17,False,True
305,3,0.3138534724712372,0.15184815184815184,6115,136738,False,ok,0.50078696,UCP1,False,False
308,0,0.0496617890894413,0.000999000999000999,14882,86892,True,ok,0.68089044,VWF,True,False
