gene,owner,real_signal,pval,n_near,n_far,admissible,reason,exclusivity,gene_name,is_loose_0p6,is_exclusive_0p7
2,11,0.06767743080854416,0.000999000999000999,6917,113416,True,ok,0.74713147,ACKR1,False,True
35,13,0.09836012125015259,0.000999000999000999,4488,137948,True,ok,0.872884,BANK1,False,True
39,11,0.10706382244825363,0.000999000999000999,6917,113416,True,ok,0.6360254,BMX,True,False
40,12,0.0595088005065918,0.000999000999000999,14029,80980,True,ok,0.5597701,BTNL9,False,False
63,13,0.06609088182449341,0.000999000999000999,4488,137948,True,ok,0.8211447,CD19,False,True
81,13,0.14132358133792877,0.000999000999000999,4488,137948,True,ok,0.5114202,CD79A,False,False
84,14,0.06896205246448517,0.000999000999000999,16565,96189,True,ok,0.58468914,CD8A,False,False
102,4,0.11710953712463379,0.000999000999000999,10568,107276,True,ok,0.5933728,CNN1,False,False
111,0,0.05472983792424202,0.000999000999000999,16593,78522,True,ok,0.5271448,CTLA4,False,False
124,5,0.032657843083143234,0.001998001998001998,6191,117742,True,ok,0.6185675,CYP4B1,True,False
126,9,0.02279682084918022,0.000999000999000999,3075,135913,True,ok,0.75072134,DERL3,False,True
127,4,0.03664660453796387,0.000999000999000999,10568,107276,True,ok,0.73145944,DES,False,True
132,9,0.08433689922094345,0.001998001998001998,3075,135913,True,ok,0.5916169,DPEP1,False,False
148,5,0.13150544464588165,0.000999000999000999,6191,117742,True,ok,0.5854728,FBLN1,False,False
163,0,0.06723270565271378,0.000999000999000999,16593,78522,True,ok,0.63380104,FOXP3,True,False
186,14,0.1375768631696701,0.000999000999000999,16565,96189,True,ok,0.552093,GZMK,False,False
203,8,0.11966526508331299,0.000999000999000999,17700,99543,True,ok,0.5684973,IL7R,False,False
219,5,0.09551713615655899,0.000999000999000999,6191,117742,True,ok,0.72033465,LGI4,False,True
222,13,0.06060753017663956,0.000999000999000999,4488,137948,True,ok,0.7153339,LILRA4,False,True
241,5,0.0914321094751358,0.000999000999000999,6191,117742,True,ok,0.5178606,MFAP5,False,False
245,11,0.0675482526421547,0.000999000999000999,6917,113416,True,ok,0.71730936,MMRN1,False,True
250,13,0.09583599865436554,0.000999000999000999,4488,137948,True,ok,0.88634133,MS4A1,False,True
257,4,0.08010126650333405,0.000999000999000999,10568,107276,True,ok,0.6433393,MYH11,True,False
259,9,0.08510047197341919,0.000999000999000999,3075,135913,True,ok,0.89118624,MZB1,False,True
269,5,0.06479572504758835,0.000999000999000999,6191,117742,True,ok,0.71263915,PCSK2,False,True
314,5,0.09747352451086044,0.000999000999000999,6191,117742,True,ok,0.6841056,SFRP2,True,False
319,9,0.07677148282527924,0.000999000999000999,3075,135913,True,ok,0.5644349,SLAMF7,False,False
336,13,0.2624817490577698,0.000999000999000999,4488,137948,True,ok,0.7726618,SPIB,False,True
342,5,-0.024567849934101105,0.906093906093906,6191,117742,False,ok,0.52104956,TAC1,False,False
349,9,0.022523872554302216,0.000999000999000999,3075,135913,True,ok,0.7548575,TENT5C,False,True
363,13,0.07738761603832245,0.000999000999000999,4488,137948,True,ok,0.82110363,TNFRSF13B,False,True
364,9,0.06671375036239624,0.000999000999000999,3075,135913,True,ok,0.85603076,TNFRSF17,False,True
