method,config_label,sweep_at,scale_rel,params,runtime_s,status,error,acc_one_to_one,acc_many_to_one,ari,n_pred_cells,n_true_cells,pred_true_ratio,frac_assigned,n_interior_transcripts
Baysor,scale1.0x_m50_c0.5,dense_sigma1.99,1.0,"{'scale': 4.776467460158293, 'min_molecules': 50, 'prior_confidence': 0.5}",59.30948567390442,ok,,0.6244926709824573,0.6710495421460436,0.4709523048762017,280,182,1.5384615384615383,1.0,29813
Baysor,scale1.0x_m50_c0.8,dense_sigma1.99,1.0,"{'scale': 4.776467460158293, 'min_molecules': 50, 'prior_confidence': 0.8}",55.16986131668091,ok,,0.6339851742528427,0.6744373259987254,0.4724447982532644,281,182,1.543956043956044,1.0,29813
Baysor,scale1.25x_m50_c0.5,dense_sigma1.99,1.25,"{'scale': 5.9705843251978665, 'min_molecules': 50, 'prior_confidence': 0.5}",53.39253902435303,ok,,0.6213396840304565,0.6504209573005065,0.4614112486330785,252,182,1.3846153846153846,1.0,29813
Baysor,scale1.25x_m50_c0.8,dense_sigma1.99,1.25,"{'scale': 5.9705843251978665, 'min_molecules': 50, 'prior_confidence': 0.8}",54.1985125541687,ok,,0.6349243618555663,0.6664877737899574,0.4710753398150876,258,182,1.4175824175824177,1.0,29813
Baysor,scale1.5x_m50_c0.5,dense_sigma1.99,1.5,"{'scale': 7.164701190237439, 'min_molecules': 50, 'prior_confidence': 0.5}",53.44576978683472,ok,,0.5845436554523195,0.612048435246369,0.4345544834040348,238,182,1.3076923076923077,1.0,29813
Baysor,scale1.5x_m50_c0.8,dense_sigma1.99,1.5,"{'scale': 7.164701190237439, 'min_molecules': 50, 'prior_confidence': 0.8}",54.06807231903076,ok,,0.6239559923523296,0.6526347566497837,0.4582340953912115,248,182,1.362637362637363,1.0,29813
Baysor,scale2.0x_m50_c0.5,dense_sigma1.99,2.0,"{'scale': 9.552934920316586, 'min_molecules': 50, 'prior_confidence': 0.5}",52.96424031257629,ok,,0.4970314963271056,0.517022775299366,0.3600204968911601,205,182,1.1263736263736264,0.999966457585617,29813
Baysor,scale2.0x_m50_c0.8,dense_sigma1.99,2.0,"{'scale': 9.552934920316586, 'min_molecules': 50, 'prior_confidence': 0.8}",55.07284045219421,ok,,0.5929628014624493,0.6234528561365847,0.4297505802612296,246,182,1.3516483516483515,0.999966457585617,29813
Baysor,scale1.25x_m20_c0.5,dense_sigma1.99,1.25,"{'scale': 5.9705843251978665, 'min_molecules': 20, 'prior_confidence': 0.5}",54.48813319206238,ok,,0.6206017509140308,0.6563915070606783,0.4635296529123029,261,182,1.434065934065934,1.0,29813
Baysor,scale1.5x_m20_c0.5,dense_sigma1.99,1.5,"{'scale': 7.164701190237439, 'min_molecules': 20, 'prior_confidence': 0.5}",54.6273729801178,ok,,0.6036628316506222,0.630765102472076,0.4465791931915748,245,182,1.3461538461538465,1.0,29813
Proseg,defaults,dense_sigma1.99,,{'extra_args': None},13.78096890449524,ok,,0.5563344849562272,0.569650823466273,0.0851743753624513,244,182,1.3406593406593406,0.8067286083252273,29813
Proseg,voxel0.5,dense_sigma1.99,,"{'extra_args': ['--voxel-size', '0.5']}",14.1117844581604,ok,,0.5300707744943481,0.5446617247509475,0.0510382887188409,245,182,1.3461538461538465,0.7510146580350854,29813
Proseg,priorreassign0.3,dense_sigma1.99,,"{'extra_args': ['--prior-seg-reassignment-prob', '0.3']}",13.9713237285614,ok,,0.5595880991513769,0.5758897125415088,0.0919535938588701,248,182,1.362637362637363,0.8139737698319525,29813
Proseg,priorreassign0.7,dense_sigma1.99,,"{'extra_args': ['--prior-seg-reassignment-prob', '0.7']}",14.01575803756714,ok,,0.5631435950759736,0.5772649515312113,0.0929323666051521,246,182,1.3516483516483515,0.81518129674974,29813
Proseg,nodiffusion,dense_sigma1.99,,{'extra_args': ['--no-diffusion']},11.994893789291382,ok,,0.4805621708650588,0.4927380672860832,0.0273911230129411,236,182,1.2967032967032968,0.683426693053366,29813
Proseg,nuclearreassign0.4,dense_sigma1.99,,"{'extra_args': ['--nuclear-reassignment-prob', '0.4']}",15.09946084022522,ok,,0.5519404286720558,0.5687116358635494,0.0883240431141614,247,182,1.3571428571428572,0.8098145104484621,29813
ComSeg,mcd8,dense_sigma1.99,,{'mean_cell_diameter': 8.0},190.1382064819336,ok,,0.6242243316673934,0.6469660886190588,0.43916958830765856,244,182,1.3406593406593406,0.9978532854794888,29813
ComSeg,mcd10,dense_sigma1.99,,{'mean_cell_diameter': 10.0},198.30452132225037,ok,,0.6336162076946299,0.6537416563244223,0.4470356469882625,245,182,1.3461538461538463,0.9977862006507229,29813
ComSeg,mcd12,dense_sigma1.99,,{'mean_cell_diameter': 12.0},240.97486782073975,ok,,0.6347231073692684,0.6549156408278268,0.44799092411668223,243,182,1.335164835164835,0.9959078254452756,29813
